"","Name","Value","Siginificant","CI.lower","CI.upper"
"1","MEHP",-64.1731833532549,1,-95.0724334887827,-33.2739332177271
"2","MEHHP",-104.683326848997,0,-264.55199445621,55.1853407582168
"3","MEOHP",165.192933054613,0,-68.3340542224969,398.719920331723
"4","MECPP",-16.146648936551,0,-103.919341461481,71.6260435883787
"5","MBZP",-11.3351067382178,1,-16.790091727346,-5.88012174908957
"6","MBP",-9.471654528283,0,-22.803627314142,3.86031825757597
"7","MiBP",-1.39857188310165,0,-9.40256119906792,6.60541743286462
"8","MEP",-6.11885577104274,1,-10.3690712414364,-1.86864030064905
"9","MCPP",-14.2974085554088,0,-31.0369699266288,2.44215281581122
"10","BPA",-32.1324874195604,1,-42.9169677107513,-21.3480071283695
"11","X24_DCP",-20.6890897594545,0,-45.4044236204094,4.02624410150045
"12","X25_DCP",11.4123383309713,0,-18.5294900867572,41.3541667486999
"13","BP3",-19.3887835891665,1,-27.123749050247,-11.6538181280861
"14","BuPB",28.43944167879,1,17.5440515845139,39.3348317730662
"15","EtPB",-2.42172217687221,0,-5.57196891190119,0.72852455815677
"16","MePB",-3.66477628735344,1,-6.84157022201507,-0.487982352691811
"17","PrPB",-16.0927614019176,1,-23.3642581506279,-8.82126465320728
"18","TCS",-30.4283771329171,1,-45.5041413881429,-15.3526128776913
"19","NAP_2",3.6248312137186,0,-3.94032963921081,11.189992066648
"20","NAP_1",6.36903914947096,0,-4.53189654991305,17.269974848855
"21","OH_FLU_2",11.9699023309426,1,1.53421230043159,22.4055923614536
"22","OH_PHE_23",-69.2599929476857,1,-103.323076352589,-35.1969095427829
"23","OH_PHE_9",-14.7873724272008,1,-22.3793789384079,-7.19536591599377
"24","OH_PHE_1",41.1140356113886,1,21.6446433710184,60.5834278517587
"25","OH_PHE_4",53.8334946238803,1,31.803845020147,75.8631442276137
"26","OH_PYR_1",9.59402422382139,0,-1.92412378248498,21.1121722301278
"27","As",3.90908332272312,1,0.169836683617858,7.64832996182839
"28","Ba",-2.57089450987895,0,-12.2190556259052,7.07726660614725
"29","Cu",4.57189610450548,0,-11.4411207396827,20.5849129486937
"30","Hg",-36.3451255627886,1,-55.0618336164455,-17.6284175091317
"31","Mn",-0.692465424176087,0,-6.80627387732955,5.42134302897738
"32","Mo",-8.52670801094168,0,-25.6478927161584,8.594476694275
"33","Ni",8.4972495473089,0,-4.07911552107108,21.0736146156889
"34","Pb",-1.1187419403842,0,-15.7451397246673,13.5076558438989
"35","Se",6.4881657659207,0,-3.70350083805276,16.6798323698942
"36","Sn",4.76415523913065,1,2.12574454004837,7.40256593821294
"37","Tl",19.0513539898683,1,8.66782340274887,29.4348845769876
"38","Zn",-6.04013900964589,0,-24.0031808698522,11.9229028505604
"39","phthalate_ers",-0.21122251856155,0,-0.743683011585933,0.321237974462832
"40","phenol_ers",0.19905549347293,0,-0.340558683552427,0.738669670498286
"41","pah_ers",-0.370621277495277,0,-1.28437215482737,0.543129599836819
"42","metal_ers",-0.428651478413031,0,-2.9452682827862,2.08796532596014
